source_id,source_layer,platform,source_type,title,author_org,published_at,collected_at,url,query_id,access_status,evidence_form,evidence_grade,notes_file,query,legacy_source_layer
OFF-017,official,小红书商业化,官方商业产品页,商业产品,小红书商业化,,2026-07-16,https://e.xiaohongshu.com/m/product,Q-OFF-005;Q-ACQ-002,full,官方页面；搜索信息流广告可按产品/服务关键词投放，证明付费搜索触达是独立商业产品,A,notes/official-and-academic.md,小红书 商业产品 搜索信息流 关键词,official_and_rules
TECH-004,engineering,arXiv,小红书信息检索数据集论文,Qilin: A Multimodal Information Retrieval Dataset with APP-level User Sessions,Jia Chen；Qian Dong；Haitao Li 等（清华/小红书等）,2025-03-01,2026-07-16,https://arxiv.org/abs/2503.00501,Q-ENG-001,full,原始论文；披露查询来源、位置/时间、近期点击、笔记多模态字段及点击/互动/观看时长等反馈结构,A,notes/official-and-academic.md,Xiaohongshu Qilin multimodal information retrieval dataset sessions,engineering_and_academic
TECH-005,engineering,arXiv/WWW,小红书推荐工程论文,NoteLLM: A Retrievable Large Language Model for Note Recommendations,Chao Zhang；Shiwei Wu；Haoxin Zhang 等（中科大/小红书）,2024-03-04,2026-07-16,https://arxiv.org/abs/2403.01744,Q-ENG-002,full,WWW 2024 原始论文；I2I 召回使用标题、正文、话题标签和类目，以用户先看 A 后点击 B 构造相关笔记对,A,notes/official-and-academic.md,Xiaohongshu NoteLLM title content hashtag category I2I,engineering_and_academic
TECH-006,engineering,arXiv,小红书推荐工程论文,NoteLLM-2: Multimodal Large Representation Models for Recommendation,Chao Zhang；Haoxin Zhang；Shiwei Wu；Di Wu 等（中科大/小红书等）,2024-05-27,2026-07-16,https://arxiv.org/abs/2405.16789,Q-ENG-002,full,原始论文；标题、话题、正文和图像参与小红书 I2I 多模态表征，并报告线上/离线实验,A,notes/official-and-academic.md,Xiaohongshu NoteLLM-2 multimodal recommendation,engineering_and_academic
TECH-007,engineering,arXiv/KDD,小红书推荐工程论文,Sliding Spectrum Decomposition for Diversified Recommendation,Yanhua Huang；Weikun Wang；Lei Zhang；Ruiwen Xu（小红书）,2021-07-12,2026-07-16,https://arxiv.org/abs/2107.05204,Q-ENG-003,full,KDD 2021；探索页重排同时考虑质量/预期效用与序列多样性，线上 A/B 观察时长、互动与多样性,A,notes/official-and-academic.md,Xiaohongshu diversified recommendation KDD SSD,engineering_and_academic
TECH-008,engineering,arXiv,小红书搜索工程论文,QP-OneModel,Jianzhao Huang；Xiaorui Huang；Fei Zhao；Yunpeng Liu 等（小红书）,2026-02-10,2026-07-16,https://arxiv.org/abs/2602.09901,Q-ENG-004,full,原始论文；查询理解包含意图、实体识别、词权重和查询改写，供下游召回与排序使用,A,notes/official-and-academic.md,Xiaohongshu QP-OneModel query intent NER term weighting rewrite,engineering_and_academic
TECH-009,engineering,arXiv,小红书推荐工程论文,UniNote,Jinghan Zhao；Wenwei Jin；Anqi Li；Jintao Tong 等（小红书等）,2026-06-01,2026-07-16,https://arxiv.org/abs/2605.29287,Q-ENG-005,full,原始论文 v2；I2I 检索综合图像、OCR、标题、正文和视频，支持局部图像到整篇笔记检索,A,notes/official-and-academic.md,Xiaohongshu UniNote image OCR title body video I2I,engineering_and_academic
TECH-010,engineering,ACL Anthology,小红书 UGC 搜索/RAG 工程论文,R³A: Reinforced Reasoning for Relevance Assessment for RAG in UGC Platforms,Xiaowei Yuan；Lei Jin；Haoxin Zhang 等（中科院/小红书）,2026-04-18,2026-07-16,https://aclanthology.org/2026.acl-industry.10/,Q-ENG-005,full,ACL 2026 industry 原始论文；用高点击文档辅助模糊意图判断，并要求定位真正含答案的局部证据,A,notes/official-and-academic.md,Xiaohongshu R3A UGC relevance RAG,engineering_and_academic
ACA-004,academic,arXiv,数字民族志预印本,The Informal Labor of Content Creators,Huiran Yi；Lu Xian,2024-09-12,2026-07-16,https://arxiv.org/abs/2409.08360,Q-ACA-001;Q-IND-005,full,九个月数字民族志；研究 KOC 商业劳动及商业内容伪装成普通自发分享的现象,B,notes/official-and-academic.md,Xiaohongshu informal labor content creators KOC commercial disclosure,engineering_and_academic
IND-001,industry,36氪/运营研究社,深度行业分析,5000字深度揭秘小红书“爆款笔记”背后的流量密码,运营研究社；周钰坤；丁奕然,2022-03-16,2026-07-16,https://36kr.com/p/1657081004947845,Q-IND-001,full,公开算法分享/论文、MCN 访谈、搜索实测和单账号截图的综合；机制偏旧,B,notes/industry-evidence-matrix.md,小红书 流量机制 推荐 搜索 养号 账号权重,wechat_zhihu_industry
IND-002,industry,人人都是产品经理,搜索实测,小红书搜索流量机制是什么样？搜索排名怎么做？,江河聊营销,2022-06-28,2026-07-16,https://www.woshipm.com/operate/5503846.html,Q-IND-001,full,双手机人工搜索与排名截图；少量关键词/设备/时点,C,notes/industry-evidence-matrix.md,小红书 搜索 排名 男女设备 前50 实测,wechat_zhihu_industry
IND-003,industry,人人都是产品经理,单账号复盘,零经验领域，8天涨粉1750，赞藏数超3万,聆风Raymond,2023-05-03,2026-07-16,https://www.woshipm.com/operate/5806458.html,Q-IND-001,full,8 天单账号后台截图；无对照且类目为母婴,C,notes/industry-evidence-matrix.md,小红书 新号 8天 涨粉 后台 复盘,wechat_zhihu_industry
IND-004,industry,人人都是产品经理,单账号复盘,运营2周获得官方两次助推，涨粉1000+,菲,2022-03-12,2026-07-16,https://www.woshipm.com/operate/5347256.html,Q-IND-001,full,单账号截图；两次官方助推是重大混杂因素,C,notes/industry-evidence-matrix.md,小红书 官方助推 标题 复盘,wechat_zhihu_industry
IND-005,industry,人人都是产品经理,从业者框架,从推荐到搜索，3000字讲透小红书流量,蔡钊的新媒体创业,2024-12-05,2026-07-16,https://www.woshipm.com/operate/6150494.html,Q-IND-001,full,操盘经验和案例截图；无公开样本，部分互动助推建议不可采用,C,notes/industry-evidence-matrix.md,小红书 推荐 搜索 订阅 流量,wechat_zhihu_industry
IND-006,industry,人人都是产品经理,从业者框架,小红书推荐流、搜索流、直播流的分发逻辑,Vic的营销思考,2024-04-02,2026-07-16,https://www.woshipm.com/operate/6025082.html,Q-IND-001,full,从业框架；搜索流量 65% 缺分母/样本/原始出处,D,notes/industry-evidence-matrix.md,小红书 推荐流 搜索流 直播流 65%,wechat_zhihu_industry
IND-007,industry,知乎,创作者个案,如何在小红书上运营、涨粉甚至赚钱？,林野,2025-02-11,2026-07-16,https://zhuanlan.zhihu.com/p/21965899509,Q-IND-001,full,单创作者截图和复盘；有课程推广利益关系,C,notes/industry-evidence-matrix.md,知乎 小红书 运营 涨粉 万赞 复盘,wechat_zhihu_industry
IND-008,industry,新榜/新红,年度榜单统计,小红书2024复盘：63个账号涨粉超百万,新榜/新红,2025-01-21,2026-07-16,https://xh.newrank.cn/help/z/7092B5243972F0F9C8521A9AA433DC68,Q-IND-002,full,年度涨粉 TOP1000 等第三方监测；含明星/跨平台大号且非平台全量,B,notes/industry-evidence-matrix.md,小红书 2024 涨粉百万 账号 数据,wechat_zhihu_industry
IND-009,industry,新榜,年度账号数据,2022小红书流行什么？186个年涨粉百万账号,新榜；松露；小八,2023-01-19,2026-07-16,https://www.newrank.cn/article/detail/22104,Q-IND-002,full,年度账号监测与案例；成功者样本，频率与增长不能做因果,B,notes/industry-evidence-matrix.md,小红书 2022 年涨粉百万 账号,wechat_zhihu_industry
IND-010,industry,新榜,跨平台数据报告,2022新媒体内容生态数据报告,新榜,2023-03-20,2026-07-16,https://www.newrank.cn/report/detail/383,Q-IND-002,full,六平台活跃账号样本；小红书具体样本量未公开,B,notes/industry-evidence-matrix.md,小红书 笔记 30天 第7天 长尾 数据,wechat_zhihu_industry
IND-011,industry,新榜,跨平台数据报告,2021新媒体内容生态数据报告,新榜,2022-01-20,2026-07-16,https://www.newrank.cn/article/detail/19259,Q-IND-002,full,2021 活跃账号历史样本，处于视频扶持期,B,notes/industry-evidence-matrix.md,小红书 图文 视频 平均互动 2021,wechat_zhihu_industry
IND-012,industry,新榜,创作者生态报告,2024内容创作者生态报告,新榜,2024-11-11,2026-07-16,https://www.newrank.cn/report/detail/425,Q-IND-002,full,2024 Q2 跨平台数据；发布时间集中不证明发布效果因果,B,notes/industry-evidence-matrix.md,小红书 内容长度 发布时间 2024 报告,wechat_zhihu_industry
IND-013,industry,鸟哥笔记/运营研究社,品牌案例,小红书“快速”起号方法：商家涨粉20万、互动超200万,April,2024-03-21,2026-07-16,https://www.niaogebiji.com/article-668902-1.html,Q-IND-003,full,旅游/高客单品牌案例及商业动态数据；含付费投放和案例选择偏差,C,notes/industry-evidence-matrix.md,小红书 商家 矩阵 起号 KOS 案例,wechat_zhihu_industry
IND-014,industry,鸟哥笔记/运营研究社,搜索推广实操,小红书“搜索推广”实操打法,April,2024-05-09,2026-07-16,https://www.niaogebiji.com/article-675144-1.html,Q-IND-003,full,援引官方白皮书和商业案例；以广告产品语境为主,C,notes/industry-evidence-matrix.md,小红书 搜索推广 白皮书 词包,wechat_zhihu_industry
IND-015,industry,报告镜像,平台商业白皮书,2024小红书搜索推广白皮书,小红书商业,2024-01-19,2026-07-16,https://www.uqudao.com/downloadDetail/2461,Q-IND-003,full,平台内部数据和用户调研；样本/问卷口径未公开，当前为第三方下载页,B,notes/industry-evidence-matrix.md,2024 小红书 搜索推广 白皮书 70% 88% 42%,wechat_zhihu_industry
IND-016,industry,第一财经,行业报道,搞不定搜索，赢不下小红书,第一财经,2024-04-09,2026-07-16,https://www.yicai.com/news/102058962.html,Q-IND-003,full,平台数据与行业访谈；无独立后台样本,C,notes/industry-evidence-matrix.md,小红书 搜索 商业化 第一财经,wechat_zhihu_industry
IND-017,industry,克劳锐,用户搜索报告,需求变迁下的搜索——用户搜索行为变化盘点,克劳锐指数研究院,2025-03-07,2026-07-16,https://pdf.dfcfw.com/pdf/H3_AP202503071644153672_1.pdf,Q-IND-003,full,N=506 问卷与平台公开资料；非概率小样本且混合多平台,B,notes/industry-evidence-matrix.md,小红书 用户搜索 行为 克劳锐 N=506,wechat_zhihu_industry
IND-018,industry,克劳锐,MCN经营报告,2024年度小红书商业MCN机构经营洞察,克劳锐指数研究院,2024-04-10,2026-07-16,https://www.itopmarketing.com/uploads/soft/20240410/1712741542.pdf,Q-IND-003,full,N=550 MCN 自愿问卷；自选择样本，属于经营感受,B,notes/industry-evidence-matrix.md,小红书 MCN 经营 洞察 N=550,wechat_zhihu_industry
IND-019,industry,千瓜,爆文样本分析,1000篇爆文套路总结,千瓜/阳光,2022-05-18,2026-07-16,https://www.qian-gua.com/information/detail/1682,Q-IND-004,full,自称 1000 篇爆文及评论语义案例；抽样方法未公开,C,notes/industry-evidence-matrix.md,千瓜 1000篇 爆文 评论 颜值 产品,wechat_zhihu_industry
IND-020,industry,千瓜,低粉账号案例,几千粉玩出10万+赞藏,千瓜/麦子,2022-06-20,2026-07-16,https://www.qian-gua.com/blog/detail/1756.html,Q-IND-004,full,多个低粉成功账号工具数据；严重幸存者偏差,C,notes/industry-evidence-matrix.md,千瓜 低粉 爆文 10万 赞藏,wechat_zhihu_industry
IND-021,industry,千瓜,内容特征报告,小红书笔记内容特征分析报告,千瓜/阳光,2022-09-28,2026-07-16,https://www.qian-gua.com/blog/detail/1942.html,Q-IND-004,full,工具报告；具体样本量和筛选条件不清，数据较旧,C,notes/industry-evidence-matrix.md,千瓜 小红书 笔记 内容特征 搜索词,wechat_zhihu_industry
IND-022,industry,千瓜,视频运营分析,4000字小红书视频笔记运营干货,千瓜/小机器人,2021-05-19,2026-07-16,https://www.qian-gua.com/Home/ArticleDetail?id=934,Q-IND-004,full,多时间窗 TOP10/热门 TOP100；顶部小样本且处视频扶持期,C,notes/industry-evidence-matrix.md,千瓜 小红书 视频 笔记 互动,wechat_zhihu_industry
IND-023,industry,千瓜,格式比较,图文笔记与视频笔记哪一种更好？,千瓜,2020-11-12,2026-07-16,https://www.qian-gua.com/information/detail/474,Q-IND-004,full,头部收藏/评论案例；非系统样本且陈旧,C,notes/industry-evidence-matrix.md,千瓜 图文 视频 笔记 收藏 关注,wechat_zhihu_industry
IND-024,industry,千瓜,商业笔记数据与算法传言,小红书博主的流量真相,千瓜/豆花,2021-08-11,2026-07-16,https://www.qian-gua.com/Home/ArticleDetail?id=1107,Q-IND-004,full,商业互动 TOP100 工具数据；精确 CES 权重无原始依据,C,notes/industry-evidence-matrix.md,千瓜 CES 赞1 藏1 评4 关8,wechat_zhihu_industry
IND-025,industry,千瓜,年度检索统计,小红书互动量增长39%，品牌高转化内容策略,千瓜,2022-06-13,2026-07-16,https://www.qian-gua.com/information/detail/1744,Q-IND-004,full,工具年度检索统计；收录范围和关键词定义未公开,B,notes/industry-evidence-matrix.md,千瓜 测评 628万篇 互动 增长39%,wechat_zhihu_industry
IND-026,industry,飞瓜数据,类目商业报告,2022年度美妆品牌社媒营销观察报告,飞瓜数据,2023-03-29,2026-07-16,https://www.feigua.cn/article/detail/702.html,Q-IND-004,full,2022 美妆商业笔记大样本；单类目且格式/内容质量混杂,B,notes/industry-evidence-matrix.md,飞瓜 小红书 美妆 图文 视频 商业笔记,wechat_zhihu_industry
IND-027,industry,人人都是产品经理/灰豚,跨平台转化案例,每4个小红书互动就能拉动1个淘内搜索？,Sally,2024-01-19,2026-07-16,https://www.woshipm.com/share/5979282.html,Q-IND-004,full,灰豚+生意参谋时间序列与三品牌多笔记；相关性非因果,B,notes/industry-evidence-matrix.md,小红书 互动 淘内搜索 灰豚 生意参谋,wechat_zhihu_industry
IND-028,industry,搜狐/蝉妈妈,跨期工具统计,三个爆文方向，助力创作新增点,蝉妈妈,2023-07-03,2026-07-16,https://www.sohu.com/a/692284822_121640652,Q-IND-004,full,工具跨期统计；样本定义未公开且平台政策混杂,C,notes/industry-evidence-matrix.md,蝉妈妈 小红书 爆文 供给 2022,wechat_zhihu_industry
IND-029,industry,东兴证券,行业研究报告,小红书：优质UGC电商生态,东兴证券,2021-08-20,2026-07-16,https://pdf.dfcfw.com/pdf/H3_AP202108231511801293_1.pdf,Q-IND-004,full,券商援引平台大会历史数据；口径不透明且处视频扶持期,B,notes/industry-evidence-matrix.md,小红书 创作者开放日 视频 图文 互动 曝光,wechat_zhihu_industry
IND-030,industry,新榜/新红,营销洞察报告,2021上半年小红书营销洞察报告,新榜/新红,2021-08-12,2026-07-16,https://qn.uqudao.com/f54fd54e21f0f9f553accdc470ae54d0.pdf,Q-IND-004,full,约 3500 万账号监测、持续跟踪 178 万+百粉账号；历史第三方口径,B,notes/industry-evidence-matrix.md,新红 2021 小红书 营销 洞察 3500万账号,wechat_zhihu_industry
IND-031,industry,36氪/运营研究社,历史合规分析,小红书限流、封杀“爆款笔记”，真要变天了？,运营研究社,2022-06-14,2026-07-16,https://m.36kr.com/p/1784526401539721,Q-IND-005,full,2022 官方规则截图和品牌案例；执行前需重新查现行规则,B,notes/industry-evidence-matrix.md,小红书 限流 未报备 商业合作 2022,wechat_zhihu_industry
IND-032,industry,CBNData,历史政策报道,从封禁品牌到介入博主合作,第一财经商业数据中心,2022-02-14,2026-07-16,https://www.cbndata.com/information/235910,Q-IND-005,full,历史平台事件/政策报道；不能外推所有商业内容,C,notes/industry-evidence-matrix.md,小红书 封禁品牌 虚假种草 水下交易,wechat_zhihu_industry
IND-033,industry,新榜/新红,排障说明,小红书笔记“小眼睛”很少，是被限流了吗？,新红数据,2024-02-27,2026-07-16,https://www.newrank.cn/article/detail/25056,Q-IND-005;Q-XHS-005,full,平台功能说明和从业解释；无样本，只适合作排障顺序,C,notes/industry-evidence-matrix.md,小红书 小眼睛 少 限流 排查,wechat_zhihu_industry
IND-034,industry,报告镜像,官方广告产品文档,小红书竞价广告产品资源介绍,小红书商业产品运营组,2020-10-22,2026-07-16,https://qn.uqudao.com/e77b0839bc8eb8426ed1f31c466c8d9b.pdf,Q-IND-005,full,官方广告文档镜像；证明付费广告可控制变量 A/B，不证明自然流随机分流,B,notes/industry-evidence-matrix.md,小红书 竞价广告 A/B 测试 控制变量,wechat_zhihu_industry
IND-035,industry,小红书代理商,后台产品说明,蒲公英推广数据中心产品更新详解,Xiao-ad,2025-04-28,2026-07-16,https://m.xiao-ad.com/zx/1638.html,Q-IND-005,full,代理商后台截图；非官方域名，部分指标未必对普通自然账号开放,C,notes/industry-evidence-matrix.md,蒲公英 数据中心 3秒阅读率 5秒播放率,wechat_zhihu_industry
IND-037,industry,矩阵通/新榜,算法公式转述,小红书的流量机制是什么？,矩阵通转述小红书电商学习中心,2025-03-11,2026-07-16,https://matrix.newrank.cn/article/article-detail/bc749c648b4c4a23,Q-IND-005,full,来源版本/场景/方法不清；与 IND-024 的另一套公式直接冲突,D,notes/industry-evidence-matrix.md,小红书 CES 赞评1 分享收藏关注4 公式,wechat_zhihu_industry
