claim_id,category,claim_text,source_ids,counter_source_ids,evidence_grade,claim_status,scope,confidence_reason,skill_action,last_verified_at,verification_class
CLM-POLICY-007,policy,"社区规范禁止在笔记中发布个人联系方式或其他平台链接、二维码、水印等导流信息。",OFF-007,,A,confirmed,"全站社区规范列明的导流行为","官方规范 3.2 直接列举","Skill 不生成站外联系方式/暗号；转化优先使用平台允许的店铺、商品和商业合作链路并实时核验",2026-07-16,current_runtime
CLM-TRUST-001,content_quality,"产品内容应与产品相关，基于真实体验并还原真实感受，不能只照搬商家指引或宣传话术。",OFF-007,,A,confirmed,"社区规范的产品分享场景","官方规范 4.1.4 直接说明","成稿前增加体验真实性检查；没有真实体验素材时只写科普/选购框架，不伪造测评或使用感",2026-07-16,mechanism_evidence
CLM-METRIC-001,measurement,"小红书公开技术课件将曝光→点击→滑动到底/互动拆成不同阶段，并分别定义点击率、互动率和长度校正后的阅读完成率。",TECH-001,,A,confirmed,"王树森 2022 年公开推荐系统课程的指标教学语境","已核验 10 页原课件；它描述指标定义而非当前排序权重","Skill 的问题诊断按封面点击、正文消费和互动意愿分环节，不用总互动量替代所有指标",2026-07-16,mechanism_evidence
CLM-SEARCH-003,search,"小红书工业搜索相关性判断会考虑查询分析、类目/分类、关键词匹配和相关内容在整篇笔记中的占比。",TECH-002,,A,confirmed,"论文披露的搜索相关性模型与人工准则；不等同于完整最终排序","小红书搜索团队论文直接描述三步相关性判断和多年工业准则，且经大规模人工标注与线上 A/B 测试","Skill 的 SEO 不是重复埋词：需让标题、封面、正文主体真正回答同一搜索意图，并检查相关内容占比",2026-07-16,mechanism_evidence
CLM-SEARCH-004,search,"搜索相关性不是简单二元关键词命中，而是对 query-note 语义相关程度进行多级判断，并专门处理模糊和长尾查询。",TECH-002,,A,confirmed,"论文所述 Xiaohongshu 搜索相关性模块","论文定义 -1 到 3 五级相关性；RANDOM 与 LONGTAIL 各 15000 对，训练集含 100 万人工标注 query-note 对","Skill 为每个选题建立主需求、子意图和边界问题，优先覆盖明确长尾问题而非机械堆词",2026-07-16,mechanism_evidence
CLM-REC-004,recommendation,"小红书已部署利用文字和图片内容信号帮助新笔记在缺少互动历史时进行 CTR 排序的冷启动机制。",TECH-003,,A,confirmed,"2025 年测试、2026 年披露的 Explore Feed Content Feed 与 Display Ads；预印本尚未同行评审","多名小红书作者披露生产部署、百万用户随机在线 A/B 测试及文字/图片输入；不代表每篇新笔记保证多少曝光","Skill 在冷启动阶段优先保证图文语义清晰一致；禁止宣称固定初始流量池或必须先养号若干天",2026-07-16,mechanism_evidence
CLM-REC-005,recommendation,"推荐生产系统同时观察点击、阅读/时长和互动等不同阶段指标，不能用单一点赞权重解释流量。","TECH-001;TECH-003",,A,confirmed,"公开技术课件与 2025 年内容流在线实验的指标语境","TECH-001 定义分阶段指标；TECH-003 内容流 A/B 报告 Time Spent、Reads、Engagements，并说明 CTR ranker","Skill 的复盘框架按曝光、点击、消费、互动四层归因；不提供万能互动权重",2026-07-16,mechanism_evidence
CLM-TREND-001,trending,"热点榜单综合搜索量、关联笔记曝光、转赞评藏互动和榜单点击率计算，词条与排序每分钟更新。",OFF-009,,A,confirmed,"仅限小红书热点榜单入口","官方规则直接披露组成项和更新频率","Skill 可把热点榜单作为实时选题信号，但严禁把该公式外推为普通推荐流权重",2026-07-16,mechanism_evidence
CLM-TREND-002,trending,"热议话题池同时考虑话题下内容发布、消费与安全标准，并按个性化推荐为用户展示 12 个话题，话题池每小时更新。",OFF-008,,A,confirmed,"仅限热议话题功能入口","官方规则直接披露","Skill 抓热议时记录采集时间、入口和个性化差异；不可把一次截图当全站统一热度",2026-07-16,mechanism_evidence
CLM-SEARCH-005,search,"2024 年联合报告称 70% 月活用户使用搜索、用户日均搜索 6 次、三分之一用户打开 App 首先搜索。",REP-001,,B,supported_experience,"2024 年上半年平台联合研究报告","报告末页标注小红书与 DT 商业观察出品，但目前访问的是第三方镜像，且未披露完整统计口径","可用于说明搜索的重要性，不作为预测单篇流量或发布时间效果的参数",2026-07-16,mechanism_evidence
CLM-AUDIENCE-001,audience,"部分用户会重新挪用与内容字面无关的标签来尝试排除不想要的受众。",ACA-003,,B,supported_experience,"该研究分析的 5800 篇帖子及 24 名访谈对象","混合方法能证明该实践存在及动机，不能证明标签确实稳定改变推荐分发，也不适合作为通用增长技巧","Skill 记录为受众安全研究，不建议用不相关标签操纵分发；标签应与内容真实相关",2026-07-16,mechanism_evidence
CLM-QUALITY-001,content_quality,"商业内容审核把仅跟读聊天记录、空泛情感/两性鸡汤、仅展示商品详情而无有效信息列为信息价值低。",OFF-005,,A,confirmed,"2026-06-12 蒲公英内容合作笔记审核场景","官方规则直接列举具体形式；不代表聊天界面这种视觉载体绝对禁用，而是单纯复述且无信息增量不合格","Skill 可使用聊天界面，但必须加入真实冲突、分析、方法或决策信息；禁止把聊天截图本身当内容价值",2026-07-16,mechanism_evidence
CLM-POLICY-008,policy,"商业审核规则治理模板化故事营销、虚构话题夹带推广、隐私尴尬故事引流、虚假人设和评论区打配合引流。",OFF-005,,A,confirmed,"2026-06-12 蒲公英内容合作笔记审核场景","官方规则直接列举；与用户设想的‘假装真人故事后卖货’高度同构","Skill 禁止伪真人投稿、反常隐私故事钩子和结尾/置顶评论硬植入；故事载体与商业稿分轨，商业稿只用真实可证体验",2026-07-16,current_runtime
CLM-QUALITY-002,content_quality,"标题/封面借热点、权威或特殊身份吸睛但正文不匹配，属于标题党或虚假攀附。",OFF-005,,A,confirmed,"2026-06-12 蒲公英内容合作笔记审核场景","官方规则明确要求封标与正文主体一致","Skill 的标题封面 A/B 版本必须共享同一正文承诺，不允许为提点击率改成正文未交付的冲突或身份",2026-07-16,mechanism_evidence
CLM-POLICY-009,policy,"‘性玩具’与规则中标注普通准入的‘情趣用品/计生用品’不能凭日常语言互换；平台类目认定可能直接改变能否认证和经营。",OFF-004,,A,confirmed,"2026-06-08 专业号行业分类规则","同一规则表同时出现禁入与普通准入注记，说明必须做 SKU 级分类，不是成人用品赛道整体判断","任何商业方案开始前取得平台后台可选类目/资质或客服书面确认；无法确认时不承诺可售",2026-07-16,current_runtime
CLM-TRUST-002,authenticity,"社区公约2.0要求 AI 辅助创作主动标明，并反对虚构财富、学历、收入、情感经历等虚假人设。","OFF-010;MED-001",,A,confirmed,"全站社区价值规范；具体处置另看治理细则","官方公约直接说明，媒体报道交叉验证版本上线","Skill 对 AI 参与和虚构/改编设显著标记；严禁把虚构情感故事包装为本人或投稿者真实经历",2026-07-16,mechanism_evidence
CLM-POLICY-010,policy,"教育、医疗、性别平等等公共利益目的的身体/性议题并非一概禁止，但仍需最大限度避免裸露、性暗示、挑逗和不必要的性联想。",OFF-010,,A,confirmed,"社区公约2.0 所述公共利益表达；不自动覆盖商业笔记审核","官方公约直接给出目的和表达双重条件；蒲公英商业审核更严","Skill 采用‘目的×表达×商业属性’三重门；教育/公益只降低风险，不作为免审通行证",2026-07-16,current_runtime
CLM-POLICY-011,commerce,"社区公约2.0倡导经营身份透明并优先使用平台提供的交易/经营工具。","OFF-010;OFF-017",,A,confirmed,"社区经营和平台商业产品场景","官方公约与商业产品页互相补充","Skill 不设计素人伪装或站外暗号；将允许的店铺、商品、私信/留资等链路作为运行时核验项",2026-07-16,mechanism_evidence
CLM-GOV-001,governance,"小红书官方报告确认‘天眼’可对黑灰产、虚假、导流、涉黄等风险嫌疑账号实施无感限流。",OFF-016,,A,confirmed,"官方社会责任报告所述风险治理系统","报告披露 7300 维特征、41 类手法、156 项关键特征与无感限流；对象是风险嫌疑账号，不是所有普通低流量笔记","Skill 承认限制流量真实存在，但只有规则命中、站内信、可见性异常或控制实验时才进入违规诊断",2026-07-16,current_runtime
CLM-GOV-002,governance,"虚假或低差营销可被处置为仅个人可见、粉丝可见、限制流量，或无法发布/投放/使用薯条。","OFF-011;OFF-012",,A,confirmed,"商业营销及相应治理场景","官方公告和规则直接列出处置；不同命中项处置不同","Skill 在成稿 QA 中拦截虚构测评、低俗煽动、生硬植入、同质模板；不承诺统一限流时长",2026-07-16,current_runtime
CLM-CHEAT-001,anti_cheat,"真实用户因喜爱而连续点赞不会自动导致限流；假账号、互粉互赞、红包诱导、买量和水军属于流量作弊风险。",OFF-013,IND-046,A,confirmed,"官方流量作弊界定","官方规则对流行传言给出直接区分；IND-046 建议朋友做首波互动，属于应被否决的旧经验","Skill 明确反驳‘真粉连赞伤号’，同时禁止组织互赞、利益诱导或刷量作为冷启动",2026-07-16,mechanism_evidence
CLM-PGY-001,scope,"蒲公英作者健康等级异常限制蒲公英接单与蒲公英内曝光，不影响小红书 App 内笔记曝光和推荐。",OFF-014,,A,confirmed,"蒲公英作者健康等级规则","官方 FAQ 直接澄清作用域","Skill 诊断时分开主站推荐与蒲公英商业权限，禁止把二者混成‘账号权重’",2026-07-16,mechanism_evidence
CLM-DIVERSION-001,policy,"‘看主页’‘dd我’‘看置顶’等不展示联系方式的间接话术也可构成蒲公英导流违规。",OFF-015,,A,confirmed,"蒲公英商业合作内容；全站导流另有社区规范","官方导流规则直接列举","Skill 不生成暗号或评论区接力引流；每次商业稿核验允许的站内组件",2026-07-16,current_runtime
CLM-COMMERCIAL-001,scope,"小红书存在按产品/服务关键词投放的搜索信息流商业产品，这与自然搜索排序是不同机制。",OFF-017,,A,confirmed,"官方搜索广告产品","官方产品页只证明可付费触达，不说明自然排名","Skill 研究结果中标注广告位/商业内容，不把付费展示当自然爆款样本",2026-07-16,mechanism_evidence
CLM-SEARCH-006,search,"小红书公开搜索工程包含意图识别、实体识别、词权重与查询改写，并将结果供召回和排序使用。",TECH-008,,A,confirmed,"QP-OneModel 论文披露的查询理解模块","原始工程论文直接描述；未披露创作者侧可操控权重","Skill 通过意图树和同义/实体/场景扩词研究需求，不使用关键词密度公式",2026-07-16,mechanism_evidence
CLM-SEARCH-007,search,"公开小红书会话数据同时包含查询来源、曝光位置/时间、近期点击、标题/正文/图像/分类以及点击互动观看时长等反馈。",TECH-004,,A,confirmed,"Qilin 研究数据集及其特定时间/样本范围","论文证明这些字段被收集用于研究，不能证明都进入当前全站固定排序","Skill 把搜索入口、位置、时间和用户路径记入样本日志；算法解释仍按模块和日期限定",2026-07-16,mechanism_evidence
CLM-I2I-001,retrieval,"小红书相关笔记召回公开使用标题、正文、话题标签、类目和图像等内容语义，并以用户连续消费共现构造相关对。","TECH-005;TECH-006",,A,confirmed,"NoteLLM/NoteLLM-2 披露的 I2I 召回模块","原始论文和线上/离线实验；不是首页最终排序，也不说明标签数量权重","Skill 要求标题、正文、话题和类目语义一致；标签用于解释内容，不承诺精准人群或越多越好",2026-07-16,mechanism_evidence
CLM-I2I-002,retrieval,"更新的 I2I 检索研究还综合图像、OCR、标题、正文和视频，并支持局部图像检索整篇笔记。",TECH-009,,A,confirmed,"UniNote 披露的 I2I 检索场景","原始论文；不表示封面堆字或每个字段都有固定权重","Skill 做封面库时记录视觉主体与 OCR 文本，并检查它们和正文主题一致，不以多字为目标",2026-07-16,mechanism_evidence
CLM-REC-006,recommendation,"探索页重排至少在公开模块中同时优化预期效用和序列多样性，线上评估观察时长、互动与多样性。",TECH-007,,A,confirmed,"小红书 2021 KDD 论文所述探索页模块；时间较旧","生产论文可证模块存在于当时，不能外推到 2026 全站结构","Skill 不把互动当唯一目标；同账号内容矩阵保留题材/角度多样性，但效果需当前账号实验",2026-07-16,mechanism_evidence
CLM-RAG-001,search,"UGC 问答/检索相关性研究强调对模糊意图使用行为证据辅助，并定位真正包含答案的局部内容。",TECH-010,,A,confirmed,"R³A 的 UGC RAG 相关性模块","ACL 工业论文原文；不是普通搜索结果完整排序","Skill 的成稿 QA 增加‘答案证据在哪一屏/哪一段’检查，避免只有标题相关而正文无答案",2026-07-16,mechanism_evidence
CLM-ETHICS-001,authenticity,"数字民族志观察到部分 KOC 会把商业劳动包装成普通自发分享，支持平台为何强调经营身份和真实披露。","ACA-004;OFF-010",,B,supported_experience,"九个月数字民族志与当前社区公约的交叉解释","学术研究说明现象与劳动结构，不能证明单篇处罚或流量权重","Skill 将商业内容与普通编辑内容分轨，明确利益关系和素材来源，不设计伪素人营销",2026-07-16,mechanism_evidence
CLM-FUNNEL-001,content_strategy,"内容表现更适合按曝光→点击→消费深度→互动→主页/关注→搜索/私信/成交分层诊断，而不是用总互动解释全链路。","TECH-001;TECH-003;IND-001;IND-007;IND-019;IND-027;IND-035",,B,supported_experience,"技术指标、行业复盘和跨品牌后链路案例的综合框架","技术资料确认前四层；主页/关注/商业后链路来自行业后台和经验，部分自然账号指标不可得","Skill 每篇先选主任务和主指标，复盘逐层定位，不把点赞当成交代理",2026-07-16,experience
CLM-LIFECYCLE-001,content_lifecycle,"小红书内容不存在统一的 7 天或 30 天失效日；知识/攻略/搜索型内容常有更长尾，旧笔记可随查询需求再次获得消费。","IND-001;IND-010;IND-027",,B,supported_experience,"2022 第三方跨平台样本、搜索实测和类目案例","IND-010 称 30 天获赞约 30% 在第 7 天后，但未披露小红书具体样本量；类目差异显著","Skill 将内容分热点/周期/常青，常青稿至少记录第7和第30天，不按统一寿命删稿",2026-07-16,mechanism_evidence
CLM-FORMAT-001,format,"图文与视频没有全平台胜负：历史样本中视频常在曝光、互动、人格化和涨粉更强，图文常在检索扫描、步骤对比、收藏与生产效率更合适。","IND-011;IND-022;IND-023;IND-026;IND-029",,B,supported_experience,"2020—2022 多个历史报告/案例，含视频扶持期和单类目商业样本","年份较旧、类目和预算混杂，不能直接套 2026","Skill 按信息任务选格式，并用每千曝光收藏/关注/转化和单位生产时间做本账号准实验",2026-07-16,mechanism_evidence
CLM-CONVERSION-001,conversion,"相近互动量可能对应数量级不同的站外搜索，甚至搜索下降；互动量不能可靠换算搜索、订单或 GMV。","IND-019;IND-027",,B,supported_experience,"评论语义案例及灰豚+生意参谋三品牌时间序列","观察性相关而非因果，具体换算比不可外推","商业稿同时记录品牌词搜索、主页访问、私信、组件点击和订单；无后链路时标注互动仅为代理",2026-07-16,mechanism_evidence
CLM-SEARCH-008,search,"‘70%月活有搜索行为’不等于‘一篇笔记70%流量来自搜索’，不同公开材料的 65%/70%/40%/90%使用了不同分母。","IND-001;IND-006;IND-015;IND-040;IND-041",,B,contradicted,"用户渗透率、单账号流量构成、个案截图和无来源经验数字的口径比较","IND-015 是用户行为比例；IND-001/IND-041 是单账号或单业务；IND-006 无分母；IND-040 不披露样本","Skill 每个百分比必须写分母、时间、样本和来源；禁止跨口径改写",2026-07-16,mechanism_evidence
CLM-FREQUENCY-001,publishing,"稳定供给有价值，但公开经验不足以支持全平台日更、停更惩罚或统一黄金发布时间。","IND-003;IND-009;IND-012;IND-028;IND-034",,B,supported_experience,"成功案例、跨平台时段/供给统计及官方广告实验方法的交叉","成功者高频与增长混杂；使用高峰不等于发布因果；自然流无随机分流证据","Skill 只设计账号自身频率/时段准实验，以中位表现和单位生产时间产出判断",2026-07-16,mechanism_evidence
CLM-VERTICAL-001,positioning,"未证实存在决定全部分发的神秘‘账号权重’，但稳定用户承诺和内容支柱有助于人群匹配、主页理解、关注和后续转化。","IND-001;IND-003;IND-007;IND-020",IND-042,C,supported_experience,"官方否认转述与多个低粉单篇爆发/创作者复盘","定位对推荐量的因果未证实，且单篇可越级表现；IND-042 对账号权重的定义自相矛盾","Skill 用一个用户承诺+2—4支柱维持可理解性，实验稿单标，不声称提升账号权重",2026-07-16,experience
CLM-AB-001,experimentation,"自然笔记通常只能做匹配样本的准实验，不能把两篇相似内容称作平台随机 A/B 测试。","IND-034;TECH-001",,B,confirmed,"官方广告 A/B 文档与推荐技术实验流程","付费广告可控制分流；自然分发的用户、竞争和时点不可控","Skill 要求预注册主指标、相近题材/阶段/时段、单变量、多组重复和中位数，并标注准实验",2026-07-16,mechanism_evidence
CLM-MATRIX-001,account_strategy,"只有当人群、类目、地区或业务角色确实不同且能独立供给时，账号矩阵才有意义；同图同文复制不能由案例证明有效。",IND-013,,C,supported_experience,"旅游/高客单/KOS 品牌案例","案例含投放且有选择偏差，不能证明矩阵本身导致结果","Skill 在拆矩阵前要求差异化假设、独立供给和线索归属；否则先做单账号内容支柱",2026-07-16,experience
CLM-COMMENT-001,audience_research,"评论应按需求、异议、经验补充、产品询问和无关情绪分类；高评论数若主要讨论颜值/猎奇，不代表产品需求。","IND-019;IND-027",,C,supported_experience,"评论语义个案与跨品牌选题/搜索对比","评论抽样和因果有限","Skill 将评论语义用于用户语言、异议和选题，不以评论数直接推断购买意向",2026-07-16,experience
CLM-CES-CONFLICT-001,recommendation,"行业文章至少流传两套相互冲突的 CES 精确公式，且均缺少可核原始技术来源。","IND-024;IND-037;IND-039;IND-042;IND-043;IND-044",OFF-001,D,contradicted,"一套称赞1藏1评4关8；另一套称赞评1、分享收藏关注4；多篇只互相复述；官方备案不披露权重","内部矛盾和缺原始来源足以否定其作为生产规则","Skill 保留为典型谣言案例，任何新公式默认降级并查原始来源",2026-07-16,mechanism_evidence
CLM-TITLE-001,content_strategy,"同一账号中都使用‘数字+季节/场景’结构的笔记，公开点赞仍可相差约十倍，因此标题结构不是爆款保证。",XHS-001,,C,supported_experience,"PPAN 单账号 11 篇样本；4双鞋×一年三季为1399赞，6件T恤×夏天为137赞","同账号反例足以否定确定性公式，但原帖URL、曝光、收藏和混杂变量缺失，不能识别真实因果","Skill 为任何标题模式主动找同账号反例；标题版本只作为待测变量",2026-07-16,experience
CLM-SEARCH-009,search,"官方商品热词攻略要求核心词与封面、标题、正文、话题及实际内容保持一致。",OFF-018,,A,confirmed,"官方商品笔记/活动攻略语境","官方页面可直接核验；不代表所有自然笔记的固定关键词密度或排名公式","Skill 采用查询—封面—标题—正文语义一致性检查，但保留商品活动作用域，不堆词",2026-07-16,mechanism_evidence
CLM-POOL-001,recommendation,"‘固定几百初始曝光、阶梯流量池、前2小时决定生死、统一CTR阈值’在本轮公开经验文中反复出现，但没有可核的一手技术来源。","IND-042;IND-043;IND-044;IND-045","OFF-001;TECH-001;TECH-003",D,contradicted,"跨工具商/运营文章的流量传言","多篇复述不能形成独立验证；官方备案、推荐课件和冷启动论文均未披露固定人数/时限/阈值","Skill 禁止给固定池级、人数、时间和CTR阈值；只输出分阶段指标与账号自身准实验",2026-07-16,mechanism_evidence
CLM-LIMIT-001,governance,"‘24小时低于100浏览即无推荐’或‘薯条不能投就等于账号限流’没有足够公开证据，不能作为限流诊断。",IND-046,"OFF-011;OFF-012;OFF-016;IND-033",D,contradicted,"商家SOP中的固定排障阈值","官方材料确认特定风险会限制展示，但不支持固定浏览阈值；低流量还有需求、点击、承接、收录和竞争等解释","Skill 只有在具体通知、规则命中、可见性异常或多篇匹配对照异常时进入处罚诊断",2026-07-16,current_runtime
CLM-STORY-001,content_format,"旧案例观察到聊天截图和连续故事可能因证据感、共情和追更获得互动，但这不能证明虚构对话在当前平台有效或合规。","IND-047;IND-048","OFF-005;OFF-010;MED-002",C,supported_experience,"2022—2023 历史案例与 2025—2026 真实性/商业治理的时间冲突","旧案例是观察性内容趋势，真实性未逐条核验；当前规则直接治理假经历、AI批量故事和模板营销","Skill 允许真实授权脱敏、明确虚构的非情色内容或教育演练；禁止伪真人与虚构故事带货",2026-07-16,mechanism_evidence
CLM-COMMENT-002,audience_acquisition,"公开证据不足以判断紧扣原帖、提供信息增量且不推销的公开评论，是否会给账号带来可重复的主页访问、关注或咨询增量。","IND-050;IND-059;IND-060",,C,unknown,"人工、透明、非推销的社区参与","现有案例把内容、投流、账号互动和评论混在一起；单一受访者无后台归因，且部分案例本身含截流行为","Skill 只把贡献型评论用于公共帮助、关系维护或用户语言观察，不把主页访问、私信或成交设为评价指标",2026-07-16,experience
CLM-COMMENT-003,governance,"在竞品相关笔记评论区引导用户关注自家品牌，或私信竞品意向用户进行招揽，属于小红书当前商业治理明确打击的‘商业撬客’。","OFF-019;MED-003;IND-049",,A,confirmed,"蒲公英商业客户、不正当商业竞争与平台治理场景","2026官方公告直接定义并列出处置；历史治理与采访交叉印证","Skill 禁止生成竞品截流、意向用户主动私信或撬客话术；商业用户按当前公告运行时复核",2026-07-16,current_runtime
CLM-COMMENT-004,governance,"批量高频、重复或统一话术、机器人、多账号配合的评论营销具有明确平台与监管风险。","OFF-020;GOV-001;OFF-013;MED-002;MED-004;MED-008","IND-051;IND-052;IND-055;IND-056",A,confirmed,"品牌号历史规则、平台反作弊、AI托管治理与国家网络水军治理","多层官方证据一致；具体处罚仍以当前平台通知和行为情节为准","Skill 不生成自动评论脚本、批量模板、小号打配合、互赞控评或规避检测方案",2026-07-16,current_runtime
CLM-COMMENT-005,advertising_law,"自然人在他人页面发布普通评价或跟帖评论一般不因形式本身构成广告；若自行或受委托推销商品，则可能进入广告法判断。",LEG-001,,A,confirmed,"中国境内广告法执法指南的一般判断；个案仍需结合营销目的、委托与内容","国家市场监管总局指南直接区分；不等于营销评论只要不留链接就合规","Skill 允许无CTA、无虚假身份的真实公共贡献；存在经营/委托关系时转入商业披露与合规审查",2026-07-16,current_runtime
CLM-COMMENT-006,causality,"‘一条评论涨粉300’‘每篇每天引流6—10人’‘前五高赞固定置顶’等评论增长公式没有足够可复核证据。","IND-053;IND-057;IND-059",,D,unknown,"行业营销稿、单人自报和2020历史平台观察","无原始后台、分平台归因、样本或对照；未找到依据不等于逐条证明为假。相关截流/自动化行为的治理风险另由CLM-COMMENT-003/004记录，不冒充效果反证","Skill 把所有固定评论量、时间窗、置顶位和引流人数写入未证实清单；不做他人帖子获客实验",2026-07-16,mechanism_evidence
CLM-COMMENT-007,competition_law,"经营者不得借热评作虚假或误导性商业宣传，也不得组织恶意评价损害竞争对手。",LEG-002,,A,confirmed,"《网络反不正当竞争暂行规定》所述网络经营行为","部门规章原文直接覆盖热评、虚假宣传和恶意评价；不等于所有负面体验分享均违法","Skill 禁止伪造证言、踩一捧一、组织评论攻击；真实比较必须有事实依据、公允条件和商业披露",2026-07-16,current_runtime
CLM-COMMENT-008,sensitive_commercial,"在创伤、胁迫、性健康或隐私求助帖下植入成人产品，会叠加敏感议题、商业意图和主动触达风险，不应作为获客实验。","OFF-005;OFF-019;LEG-001",,B,supported_experience,"女性向成人亲密关系与成人用品账号的高风险评论场景","这是从现行商业治理、广告边界和敏感内容六道门推导的风险规则，不是平台逐字列举的单条禁令","Skill 将此类帖子设为评论商业化硬阻断；只允许不带产品和CTA的安全/求助资源信息，并避免越权医疗建议",2026-07-16,current_runtime
CLM-ACQ-001,audience_acquisition,"合规获客应区分‘外部平台原生内容吸引用户主动认识账号’与‘在小红书内使用获准的站内商业工具承接咨询/交易’，不能把隐蔽站外导流当成同一路径。","OFF-021;IND-061;OFF-015;OFF-005",,B,supported_experience,"小红书内容发现、商业客资与交易承接","官方产品入口确认站内客资能力，官方/公告材料确认站外导流风险；具体行业和SKU权限仍不确定","Skill 输出渠道角色图；任何站内组件/咨询/商品动作先查具体SKU或offer的surface资格，外部平台按原生规则生产内容，不生成暗号或联系方式变体",2026-07-16,experience
