query_id,platform,query,search_surface,sort_or_filter,run_at,result_count,selected_source_ids,selected_account_ids,selected_post_ids,new_valid_accounts,new_content_patterns,notes
Q-XHS-006,小红书/全网,小红书标题封面,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-046;OFF-018,,,,,站内结果未加载；比例/字数和关键词建议需按产品作用域与本账号实验处理
Q-XHS-007,小红书/全网,小红书图文数据复盘,站内综合页与公开搜索引擎,默认,2026-07-16,0,XHS-001,,,,,保存 11 条笔记级样本；仅2篇图文且缺曝光/收藏，不足以比较格式因果
Q-XHS-008,小红书/全网,小红书内容运营,站内综合页与公开搜索引擎,默认,2026-07-16,0,IND-046;IND-047;IND-048;MED-002,,,,,站内结果未加载；历史聊天/故事案例与当前真实性、AI和商业治理存在时间冲突
Q-COMMENT-001,小红书,评论区截流,登录态站内搜索,综合,2026-07-16,20,XHS-002,,,,,只读采集首屏20张搜索卡并打开1条治理讨论详情；结果不是头部榜单，合并互动不拆成赞藏评
Q-COMMENT-002,小红书官方,关于不正当商业竞争行为的治理公告,蒲公英帮助中心,规则公告,2026-07-16,1,OFF-019,,,,,通过帮助中心标题进入官方详情页，核到当前URL、发布日期、商业撬客定义和处置
Q-COMMENT-003,全网,小红书 评论区引流 评论区截流 竞品撬客 主动私信,搜索引擎,官方与平台公告转述优先,2026-07-16,,OFF-019;IND-049;IND-061;MED-003;MED-007,,,,,区分当前官方商业治理、历史公告转述和媒体采访
Q-COMMENT-004,全网,小红书 批量评论 自动评论 机器人 水军 统一话术,搜索引擎,法规与治理优先,2026-07-16,,OFF-020;GOV-001;MED-002;MED-004;MED-008;IND-051;IND-052;IND-055;IND-056,,,,,自动化工具稿保留为反例，不执行其中脚本、账号或规避建议
Q-COMMENT-005,全网,评论 营销 是否构成广告 热评 虚假宣传 恶意评价,法规检索,现行原文,2026-07-16,,LEG-001;LEG-002,,,,,建立贡献型普通评论与营销/受托推销评论的法律边界；不代替个案法律意见
Q-COMMENT-006,全网,小红书 评论获客 涨粉 主页访问 案例 复盘,行业媒体/操盘文章,优先找后台与反例,2026-07-16,,IND-050;IND-053;IND-057;IND-058;IND-059;IND-060,,,,,效果主张多为单人自报、乘法推演或组合动作，不能形成稳定增长公式
Q-COMMENT-007,全网,小红书 评论 第三方平台 编造故事 低质营销 封号,媒体与处罚通知,交叉报道,2026-07-16,,MED-005;MED-006,,,,,两家媒体交叉呈现同轮处罚；仍不能替代当前全站官方规则原件
Q-COMMENT-008,全网,小红书 评论截流 低效 封号 自动化软件,行业营销稿/工具页,反例采集,2026-07-16,,IND-051;IND-052;IND-054;IND-055;IND-056;IND-058,,,,,专门保存高风险或无证据玩法，避免Skill未来把其当最佳实践
Q-ACQ-001,小红书官方,小红书 聚光 客资收集 私信咨询,聚光帮助中心,产品入口,2026-07-16,,OFF-021,,,,,只确认官方存在相应商业产品入口；实际行业、账户、素材和SKU准入需在投放时复核
Q-ACQ-002,小红书官方,小红书 商业产品 蒲公英 薯条 小程序 留资页 原生落地页 分享开放平台,官方产品页,产品能力,2026-07-16,,OFF-017;OFF-021;OFF-022;OFF-023,,,,,区分产品存在、准入资格和实际效果；不得由产品页推断成人SKU必然可投
Q-ACQ-003,知乎官方,知乎 创作者手册 盐值 知+ 营销导流 伪造经历 低俗,官方指南/规则/产品页,当前可访问页,2026-07-16,,OFF-024;OFF-025;OFF-026,,,,,用于定义知乎的原生内容角色和官方商业组件，不把知乎当小红书跳转泵
Q-ACQ-004,哔哩哔哩官方,B站 花火 UP主 品牌合作 用户协议 色情 垃圾广告,官方平台/协议,当前可访问页,2026-07-16,,OFF-027;OFF-028;OFF-029,,,,,用于定义深度解释与官方合作边界；成人行业能否合作仍需审核
Q-ACQ-005,抖音官方,抖音 情趣用品 类目 违禁商品 星图 用户协议,官方协议/电商学习中心/商业平台,当前与历史规则分开,2026-07-16,,OFF-030;OFF-031;OFF-032;OFF-033;OFF-034,,,,,存在经营类目不等于所有SKU、画面和功效可售；动态页执行前复核后台
Q-ACQ-006,全网,女性向 成人用品 小红书 跨平台 导流 案例 播客 线下,品牌采访/申奖案例/行业媒体,保留方法和局限,2026-07-16,,IND-062;IND-063;IND-064;IND-065,,,,,未找到可核验后台的外站→小红书→成交案例；只保存渠道组合、站内闭环和偶发UGC结构
Q-ACQ-007,法规,个人信息保护法 互联网广告管理办法 广告法 投稿 隐私 测评 购买链接,国家法律法规,现行原文,2026-07-16,,LEG-003;LEG-004;LEG-005,,,,,亲密投稿按高敏感信息治理；商业测评与购买方式、功效、未成年人边界单独审查
Q-ACQ-008,腾讯广告官方,腾讯广告 落地页 线索通 公众号 企微 CRM 归因,官方培训资料,产品能力,2026-07-16,,OFF-035,,,,,仅用于说明自愿留资后的官方承接与归因；不能为从小红书违规导微信背书
